Facility,Contact,initial_registration_date,most_recent_registration_date,last_fda_inspection_date,form_483_issued,fda_recall_conducted,post_inspection_action,intends_to_compound_sterile,pharmacy_legal_entity,pharmacy_entity_type,pharmacy_name,is_renamed,former_facility_name,license_city,license_state,license_contact_name,license_contact_phone,no_fda_inspections,post_inspection_action_date
"503B OUTSOURCING FACILITY ONE, LLC, WEST PALM BEACH, FL ",KENNETH METZLER 1-754-265-4280,2025-02-18 00:00:00,2/18/2025,,FALSE,FALSE,,TRUE,503B OUTSOURCING FACILITY ONE LLC,LLC,503B OUTSOURCING FACILITY ONE,FALSE,,WEST PALM BEACH,FL,KENNETH METZLER ,1-754-265-4280,TRUE,
"ANAZAOHEALTH CORPORATION, LAS VEGAS, NV",JACLYN WONG800-995-4363EXT 3120,2014-09-23 00:00:00,12/10/2024,2024-09-23 00:00:00,TRUE,FALSE,OPEN,TRUE,ANAZAOHEALTH CORPORATION ,,ANAZAOHEALTH CORPORATION,FALSE,,LAS VEGAS,NV,JACLYN WONG,800-995-4363EXT 3120,FALSE,
"ANNOVEX PHARMA, INC., LORTON, VA",ADEDAYO AKINBI1-571-642-5104   ,2021-10-14 00:00:00,11/22/2024,2024-09-06 00:00:00,FALSE,FALSE,WARNING LETTER ISSUED,TRUE,ANNOVEX PHARMA INC,INC,ANNOVEX PHARMA,FALSE,,LORTON,VA,ADEDAYO AKINBI,1-571-642-5104   ,FALSE,2025-03-05 00:00:00
"APOCUS, INC., SAN ANTONIO, TX",SURYANARAYANA RAJU SAGI 1-214-797-7172,2023-10-17 00:00:00,2/6/2025,,FALSE,FALSE,,TRUE,APOCUS INC,INC,APOCUS,FALSE,,SAN ANTONIO,TX,SURYANARAYANA RAJU SAGI ,1-214-797-7172,TRUE,
"APOLLO CARE, COLUMBIA, MO",JARRED DUDDING573-441-8900,2017-09-14 00:00:00,12/16/2024,2023-04-05 00:00:00,TRUE,TRUE,REGULATORY MEETING HELD,TRUE,APOLLO CARE ,,APOLLO CARE,FALSE,,COLUMBIA,MO,JARRED DUDDING,573-441-8900,FALSE,2023-11-30 00:00:00
"APOTHECARY PHARMA, LLC, CARY, NC",PRIYANKA RANA 1-919-760-5478,2024-09-07 00:00:00,1/11/2025,,FALSE,FALSE,N/A,TRUE,APOTHECARY PHARMA LLC,LLC,APOTHECARY PHARMA,FALSE,,CARY,NC,PRIYANKA RANA ,1-919-760-5478,TRUE,
"ARC COMPOUNDING PHARMACY, LLC, WACO, TX",CLIFTON KING512-665-6911,2024-06-22 00:00:00,2/3/2025,,FALSE,FALSE,,TRUE,ARC COMPOUNDING PHARMACY LLC,LLC,ARC COMPOUNDING PHARMACY,FALSE,,WACO,TX,CLIFTON KING,512-665-6911,TRUE,
"ASSURE INFUSIONS, INC., BARTOW, FL",GLORIA IMBIMBO1-386-451-2673,2024-11-22 00:00:00,11/22/2024,,FALSE,FALSE,,FALSE,ASSURE INFUSIONS INC,INC,ASSURE INFUSIONS,FALSE,,BARTOW,FL,GLORIA IMBIMBO,1-386-451-2673,TRUE,
"ATILAR PHARMA CORPORATION, HOUSTON, TX",BENITO AGUILAR 1-713-992-3884,2025-02-20 00:00:00,2/20/2025,,FALSE,FALSE,,TRUE,ATILAR PHARMA CORPORATION ,,ATILAR PHARMA CORPORATION,FALSE,,HOUSTON,TX,BENITO AGUILAR ,1-713-992-3884,TRUE,
"AVEVA DRUG DELIVERY SYSTEMS, INC, TAMARAC, FL",MADHURI GUPTA 1-954-218-1570,2024-11-04 00:00:00,11/4/2024,,FALSE,FALSE,,TRUE,AVEVA DRUG DELIVERY SYSTEMS INC,INC,AVEVA DRUG DELIVERY SYSTEMS,FALSE,,TAMARAC,FL,MADHURI GUPTA ,1-954-218-1570,TRUE,
"BAYCARE INTEGRATED SERVICE CENTER, LLC, DBA BAYCARE CENTRAL PHARMACY, TEMPLE TERRACE, FL",KENNETH JOZEFCZYK813-901-6339,2019-06-04 00:00:00,10/25/2024,2023-06-02 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,FALSE,BAYCARE INTEGRATED SERVICE CENTER LLC,LLC,BAYCARE CENTRAL PHARMACY,FALSE,,TEMPLE TERRACE,FL,KENNETH JOZEFCZYK,813-901-6339,FALSE,2023-09-18 00:00:00
"BENNETT PHARMACEUTICALS OF AMERICALLC, HUDSON, WI",JAMES MULVAHILL952-381-9027,2022-04-19 00:00:00,1/23/2025,,FALSE,FALSE,,TRUE,BENNETT PHARMACEUTICALS OF AMERICALLC ,,BENNETT PHARMACEUTICALS OF AMERICALLC,FALSE,,HUDSON,WI,JAMES MULVAHILL,952-381-9027,TRUE,
"BPI LABS, LLC, LARGO, FL",CHANDRA KASIREDDY727-471-0850,2019-03-04 00:00:00,10/17/2024,2025-02-21 00:00:00,TRUE,FALSE,OPEN,TRUE,BPI LABS LLC,LLC,BPI LABS,FALSE,,LARGO,FL,CHANDRA KASIREDDY,727-471-0850,FALSE,
"BRAVADO PHARMACEUTICALS, LLC, LUTZ, FL",BRIAN MCMILLAN 1-813-991-4100,2025-02-28 00:00:00,2/28/2025,,FALSE,FALSE,,TRUE,BRAVADO PHARMACEUTICALS LLC,LLC,BRAVADO PHARMACEUTICALS,FALSE,,LUTZ,FL,BRIAN MCMILLAN ,1-813-991-4100,TRUE,
"BROOKFIELD MEDICAL/SURGICAL SUPPLY, INC., BROOKFILED, CT",JAMES CANGELOSI203-775-0862,2015-01-12 00:00:00,1/10/2025,2024-05-10 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,BROOKFIELD MEDICAL/SURGICAL SUPPLY INC,INC,BROOKFIELD MEDICAL/SURGICAL SUPPLY,FALSE,,BROOKFILED,CT,JAMES CANGELOSI,203-775-0862,FALSE,2025-02-13 00:00:00
"BSO, LLC, GOLDEN, CO",MICHELLE VIOLI608-221-7800EXT 1113,2024-01-24 00:00:00,10/18/2024,,FALSE,FALSE,,TRUE,BSO LLC,LLC,BSO,FALSE,,GOLDEN,CO,MICHELLE VIOLI,608-221-7800EXT 1113,TRUE,
"BSO, LLC, LAKEWOOD, CO",MICHELLE VIOLI608-221-7800EXT 1113,2015-11-24 00:00:00,10/31/2024,2024-07-03 00:00:00,TRUE,FALSE,OPEN,TRUE,BSO LLC,LLC,BSO,FALSE,,LAKEWOOD,CO,MICHELLE VIOLI,608-221-7800EXT 1113,FALSE,
"CENTRAL ADMIXTURE PHARMACY SERVICES, INC., ALLENTOWN, PA",ERIC BAUER 1-551-204-4178,2014-02-28 00:00:00,10/22/2024,2023-03-30 00:00:00,TRUE,TRUE,WARNING LETTER ISSUED,TRUE,CENTRAL ADMIXTURE PHARMACY SERVICES INC,INC,CENTRAL ADMIXTURE PHARMACY SERVICES,FALSE,,ALLENTOWN,PA,ERIC BAUER ,1-551-204-4178,FALSE,2024-03-29 00:00:00
"CENTRAL ADMIXTURE PHARMACY SERVICES, PHOENIX, AZ",ERIC BAUER 1-551-204-4178,2018-03-29 00:00:00,10/22/2024,2023-07-31 00:00:00,TRUE,TRUE,WARNING LETTER ISSUED,TRUE,CENTRAL ADMIXTURE PHARMACY SERVICES ,,CENTRAL ADMIXTURE PHARMACY SERVICES,FALSE,,PHOENIX,AZ,ERIC BAUER ,1-551-204-4178,FALSE,2024-03-25 00:00:00
"DELTA PHARMA, INC., RIPLEY, MS",STUART SIMPSON662-512-5191,2014-08-06 00:00:00,12/31/2024,2024-04-12 00:00:00,TRUE,FALSE,OPEN,TRUE,DELTA PHARMA INC,INC,DELTA PHARMA,FALSE,,RIPLEY,MS,STUART SIMPSON,662-512-5191,FALSE,
"DENVER SOLUTIONS, LLC, DBA LEITERS HEALTH, BUENA, NJ",BARBARA KNIGHTLY720-697-5140EXT 4004,2022-07-01 00:00:00,11/18/2024,,FALSE,FALSE,,TRUE,DENVER SOLUTIONS LLC,LLC,LEITERS HEALTH,FALSE,,BUENA,NJ,BARBARA KNIGHTLY,720-697-5140EXT 4004,TRUE,
"DENVER SOLUTIONS, LLC, DBA LEITERS HEALTH, ENGLEWOOD, CO",BARBARA KNIGHTLY720-697-5140EXT 4004,2017-03-24 00:00:00,11/18/2024,2024-04-05 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,DENVER SOLUTIONS LLC,LLC,LEITERS HEALTH,FALSE,,ENGLEWOOD,CO,BARBARA KNIGHTLY,720-697-5140EXT 4004,FALSE,
"EAGLE PHARMA, BIRMINGHAM, AL",HALEIGH CAWOOD205-682-7999,2015-06-16 00:00:00,10/23/2024,2025-02-27 00:00:00,TRUE,FALSE,OPEN,TRUE,EAGLE PHARMA ,,EAGLE PHARMA,FALSE,,BIRMINGHAM,AL,HALEIGH CAWOOD,205-682-7999,FALSE,
"ECHO HEALTH, LLC, DBA NOVA SPECIALTY PHARMACY, MANSFIELD, TX",OBIECHINA EZEKWESILI 1-682-267-8586,2024-05-20 00:00:00,2/18/2025,,FALSE,FALSE,,TRUE,ECHO HEALTH LLC,LLC,NOVA SPECIALTY PHARMACY,FALSE,,MANSFIELD,TX,OBIECHINA EZEKWESILI ,1-682-267-8586,TRUE,
"EMPOWER CLINIC SERVICES NEW JERSEY, EAST WINDSOR, NJ",SHAUN NOORIAN877-562-8577,2024-06-10 00:00:00,11/20/2024,,FALSE,FALSE,,TRUE,EMPOWER CLINIC SERVICES NEW JERSEY ,,EMPOWER CLINIC SERVICES NEW JERSEY,FALSE,,EAST WINDSOR,NJ,SHAUN NOORIAN,877-562-8577,TRUE,
